customer_id,nome,sobrenome,sexo,compra_bike_ultimo_3_anos,Ano,Mês,Dia,cargo,categoria_cargo,segmento,possui_carro,falecido
1,Laraine,Medendorp,Female,93,1953,outubro,12,Executive Secretary,Health,Mass Customer,Yes,N
2,Eli,Bockman,Male,81,1980,dezembro,16,Administrative Officer,Financial Services,Mass Customer,Yes,N
3,Arlin,Dearle,Male,61,1954,janeiro,20,Recruiting Manager,Property,Mass Customer,Yes,N
4,Talbot,"",Male,33,1961,outubro,3,"",IT,Mass Customer,No,N
5,Sheila-kathryn,Calton,Female,56,1977,maio,13,Senior Editor,n/a,Affluent Customer,Yes,N
6,Curr,Duckhouse,Male,35,1966,setembro,16,"",Retail,High Net Worth,Yes,N
7,Fina,Merali,Female,6,1976,fevereiro,23,"",Financial Services,Affluent Customer,Yes,N
8,Rod,Inder,Male,31,1962,março,30,Media Manager I,n/a,Mass Customer,No,N
9,Mala,Lind,Female,97,1973,março,10,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,N
10,Fiorenze,Birdall,Female,49,1988,outubro,11,Senior Quality Engineer,Financial Services,Mass Customer,Yes,N
11,Uriah,Bisatt,Male,99,1954,abril,30,"",Property,Mass Customer,No,N
12,Sawyere,Flattman,Male,58,1994,julho,21,Nuclear Power Engineer,Manufacturing,Mass Customer,No,N
13,Gabriele,Norcross,Male,38,1955,fevereiro,15,Developer I,Financial Services,High Net Worth,Yes,N
14,Rayshell,Kitteman,Female,85,1983,março,25,Account Executive,Financial Services,Affluent Customer,No,N
15,Erroll,Radage,Male,91,2000,julho,13,Junior Executive,Manufacturing,Mass Customer,No,N
16,Harlin,Parr,Male,38,1977,fevereiro,27,Media Manager IV,n/a,Mass Customer,Yes,N
17,Heath,Faraday,Male,57,1962,março,19,Sales Associate,n/a,Affluent Customer,Yes,N
18,Marjie,Neasham,Female,79,1967,julho,6,Professor,n/a,Affluent Customer,No,N
19,Sorcha,Keyson,Female,76,2001,abril,15,Geological Engineer,Manufacturing,High Net Worth,No,N
20,Basile,Firth,Male,72,1980,agosto,13,Project Manager,Manufacturing,Mass Customer,No,N
21,Mile,Cammocke,Male,74,1980,setembro,20,Safety Technician I,Manufacturing,Affluent Customer,Yes,N
22,Deeanne,Durtnell,Female,79,1962,dezembro,10,"",IT,Mass Customer,No,N
23,Olav,Polak,Male,43,1995,fevereiro,10,"",n/a,High Net Worth,Yes,N
24,Kim,Skpsey,Female,55,1977,dezembro,3,Research Assistant I,Argiculture,Mass Customer,Yes,N
25,Geoff,Assaf,Male,72,1976,dezembro,2,Accounting Assistant III,Financial Services,Mass Customer,Yes,N
26,Trixi,Ginnelly,Female,12,1978,junho,10,Editor,Financial Services,Mass Customer,Yes,N
27,Garvin,Klees,Male,37,1978,setembro,25,Research Nurse,Health,Mass Customer,Yes,N
28,Fee,Zellmer,Male,5,1973,setembro,30,Senior Quality Engineer,Health,Affluent Customer,Yes,N
29,Mona,Sancraft,Female,62,1968,junho,22,Safety Technician III,Manufacturing,Mass Customer,No,N
30,Darrick,Helleckas,Male,18,1961,outubro,18,"",IT,Affluent Customer,Yes,N
31,Star,Praton,Female,3,1962,novembro,24,Staff Accountant III,Telecommunications,High Net Worth,Yes,N
32,Marion,Vanichkin,Female,17,1995,abril,20,Legal Assistant,Manufacturing,Affluent Customer,No,N
33,Ernst,Hacon,Male,44,1957,junho,25,Product Engineer,n/a,Affluent Customer,Yes,N
34,Jephthah,Bachmann,Gay,59,1843,dezembro,21,Legal Assistant,IT,Affluent Customer,No,N
35,Margaretha,Strettle,Female,40,1963,setembro,28,Information Systems Manager,Health,High Net Worth,Yes,N
36,Lurette,Stonnell,Female,33,1977,novembro,9,VP Quality Control,n/a,Affluent Customer,No,N
37,Laurie,Dwerryhouse,Female,46,1985,dezembro,22,Social Worker,Health,High Net Worth,No,N
38,Cordi,Merman,Female,37,1955,outubro,29,Senior Cost Accountant,Financial Services,Affluent Customer,No,N
39,Hunfredo,Smalley,Male,5,1979,abril,16,Assistant Media Planner,Entertainment,Mass Customer,No,N
40,Tomasine,Jerche,Female,91,1981,outubro,27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,N
41,Basilius,Coupe,Male,64,1976,abril,14,Food Chemist,Health,Mass Customer,No,N
42,Chiquita,Durnall,Female,24,1977,março,28,Accountant III,Manufacturing,Mass Customer,No,N
43,Indira,Belt,Female,38,1983,março,1,Director of Sales,Retail,Mass Customer,No,N
44,Neron,Verick,Male,63,1981,outubro,18,Assistant Media Planner,Entertainment,Affluent Customer,Yes,N
45,Trace,Woodhead,Male,64,1975,setembro,23,Senior Financial Analyst,Financial Services,Mass Customer,No,N
46,Kaila,Allin,Female,98,1972,fevereiro,26,"",n/a,Affluent Customer,Yes,N
47,Matthew,Jeaycock,Male,51,1992,outubro,22,Registered Nurse,Health,Affluent Customer,No,N
48,Rebbecca,Casone,Female,46,1975,agosto,15,Biostatistician II,n/a,Mass Customer,Yes,N
49,Nolly,Ownsworth,Male,63,1994,janeiro,26,VP Quality Control,n/a,Affluent Customer,No,N
50,Whitby,Schapero,Male,38,1980,outubro,1,Account Executive,Manufacturing,Mass Customer,Yes,N
51,Fidelio,Dilke,Male,68,1959,dezembro,5,Computer Systems Analyst II,Retail,Mass Customer,No,N
52,Curran,Bentson,Male,57,1988,junho,22,"",Financial Services,Mass Customer,Yes,N
53,Agnella,Gocke,Female,22,1954,abril,18,Software Test Engineer II,Financial Services,Mass Customer,No,N
54,Loralyn,Wonfor,Female,2,1966,julho,24,Sales Associate,Property,Mass Customer,Yes,N
55,Linc,Jillions,Male,48,1956,setembro,24,Paralegal,Financial Services,Affluent Customer,Yes,N
56,Reese,Ensor,Male,44,1996,julho,4,VP Sales,Property,Mass Customer,Yes,N
57,Abba,Masedon,Male,87,1988,junho,13,Chief Design Engineer,n/a,Mass Customer,Yes,N
58,Dalenna,Pinnock,Female,26,1967,julho,4,Office Assistant III,Financial Services,Affluent Customer,Yes,N
59,Niki,Heathcote,Male,60,2000,fevereiro,8,Physical Therapy Assistant,n/a,High Net Worth,No,N
60,Nadiya,Champerlen,Female,18,1970,fevereiro,4,"",Manufacturing,Mass Customer,No,N
61,Kacey,Rowbottom,Female,47,1959,novembro,29,Help Desk Operator,Property,High Net Worth,No,N
62,Sorcha,Roggers,Female,38,1979,julho,6,"",IT,Mass Customer,Yes,N
63,Ebony,Zini,Female,58,1965,julho,3,Senior Quality Engineer,Retail,Mass Customer,Yes,N
64,Gerek,Yve,Male,73,1978,março,25,Legal Assistant,IT,High Net Worth,No,N
65,Yale,Tanser,Male,21,1976,abril,1,Information Systems Manager,Financial Services,Affluent Customer,Yes,N
66,Anselm,Gawne,Male,46,2002,março,11,Account Executive,Argiculture,High Net Worth,No,N
67,Vernon,"",Male,67,1960,junho,14,Web Developer II,Retail,Mass Customer,No,N
68,Dahlia,Eddoes,Female,37,1974,abril,21,Information Systems Manager,n/a,Affluent Customer,No,N
69,Heidi,Milner,Female,16,1969,junho,22,Web Developer II,n/a,Mass Customer,No,N
70,Foster,Vannoort,Male,78,1993,fevereiro,27,Paralegal,Financial Services,Affluent Customer,No,N
71,Hoyt,Glavias,Male,30,1985,janeiro,27,Research Associate,Argiculture,Affluent Customer,Yes,N
72,Sammy,Cheese,Male,93,1972,fevereiro,13,Administrative Officer,Manufacturing,Affluent Customer,Yes,N
73,Minette,Worters,Female,16,1960,maio,27,Teacher,n/a,Affluent Customer,Yes,N
74,Pansy,Kiddie,Female,94,1969,junho,19,"",n/a,Mass Customer,Yes,N
75,Dollie,Sealy,Female,28,1978,julho,15,VP Product Management,Property,Mass Customer,No,N
76,Rea,Hasser,Female,20,1978,janeiro,23,Statistician II,Retail,High Net Worth,Yes,N
77,Shermie,Andrin,Male,79,1989,setembro,12,Automation Specialist IV,Financial Services,Mass Customer,No,N
