customer_id,endereco,estado,pais,codigo_postal
1,060 Morning Avenue,New South Wales,Australia,2016
2,6 Meadow Vale Court,New South Wales,Australia,2153
4,0 Holy Cross Court,QLD,Australia,4211
5,17979 Del Mar Point,New South Wales,Australia,2448
6,9 Oakridge Court,VIC,Australia,3216
7,4 Delaware Trail,New South Wales,Australia,2210
8,49 Londonderry Lane,New South Wales,Australia,2650
9,97736 7th Trail,New South Wales,Australia,2023
11,93405 Ludington Park,VIC,Australia,3044
12,44339 Golden Leaf Alley,QLD,Australia,4557
13,2 Sutherland Street,VIC,Australia,3799
14,9 Mcbride Trail,New South Wales,Australia,2760
15,9861 New Castle Avenue,New South Wales,Australia,2428
16,52 Moland Street,VIC,Australia,3331
17,82391 Kensington Lane,VIC,Australia,3058
18,092 2nd Alley,New South Wales,Australia,2135
19,59 Spaight Circle,New South Wales,Australia,2233
20,032 Bartelt Crossing,New South Wales,Australia,2444
21,18 Jenna Center,New South Wales,Australia,2650
24,3 Cordelia Plaza,New South Wales,Australia,2153
25,28 5th Center,QLD,Australia,4413
26,52 Carey Alley,QLD,Australia,4740
27,96 Texas Plaza,VIC,Australia,3218
28,48 Eagan Avenue,QLD,Australia,4868
29,9 Buell Park,QLD,Australia,4116
30,02663 Buell Parkway,New South Wales,Australia,2519
31,2294 Pleasure Place,New South Wales,Australia,2135
32,2951 Petterle Place,New South Wales,Australia,2756
33,63 Lukken Drive,New South Wales,Australia,2170
34,833 Luster Way,QLD,Australia,4005
35,34 Russell Plaza,QLD,Australia,4127
36,78 Del Sol Hill,New South Wales,Australia,2535
37,54 Sage Plaza,QLD,Australia,4726
38,90 Lawn Parkway,QLD,Australia,4805
39,38726 Ilene Crossing,New South Wales,Australia,2212
40,3496 Brown Drive,New South Wales,Australia,2207
41,7188 Cody Way,VIC,Australia,3350
42,1 Claremont Park,VIC,Australia,3931
43,60 Eagan Circle,QLD,Australia,4018
44,89314 Eagle Crest Center,QLD,Australia,4670
45,2028 Lakewood Place,New South Wales,Australia,2480
46,70875 Hudson Point,VIC,Australia,3212
47,543 Killdeer Park,New South Wales,Australia,2322
48,22125 Ramsey Drive,VIC,Australia,3198
49,3107 Calypso Terrace,New South Wales,Australia,2210
50,957 Veith Junction,New South Wales,Australia,2047
